Rid,Description,meal_name,calories,prep_time
1, A healthy breakfast option, Oatmeal, 150, 10
2, Quick and filling lunch, Grilled Chicken Salad, 300, 15
3, Delicious and light dinner, Vegetable Stir Fry, 200, 20
4, Refreshing smoothie, Berry Smoothie, 180, 5
5, Energy-boosting snack, Peanut Butter Banana Toast, 250, 8
6, Energy-boosting snack, Lentil Soup, 197, 17
7, Delicious and light dinner, Quinoa Bowl, 284, 27
8, Energy-boosting snack, Sweet Potato Hash, 270, 6
9, Energy-boosting snack, Lentil Soup, 200, 23
10, A healthy breakfast option, Zucchini Noodles, 286, 14
11, Simple and tasty, Sweet Potato Hash, 398, 19
12, Quick and filling lunch, Peanut Butter Banana Toast, 287, 29
13, Energy-boosting snack, Sweet Potato Hash, 380, 18
14, Energy-boosting snack, Spinach Omelette, 438, 19
15, Low-carb dinner, Spinach Omelette, 376, 13
16, Vegan-friendly dish, Sweet Potato Hash, 351, 6
17, Quick and filling lunch, Quinoa Bowl, 156, 17
18, Low-carb dinner, Protein Pancakes, 187, 28
19, Energy-boosting snack, Avocado Toast, 292, 13
20, Keto-compatible recipe, Protein Pancakes, 345, 19
21, Vegan-friendly dish, Tofu Scramble, 290, 7
22, Energy-boosting snack, Baked Salmon, 300, 7
23, Refreshing smoothie, Avocado Toast, 225, 27
24, Keto-compatible recipe, Protein Pancakes, 210, 27
25, Vegan-friendly dish, Greek Yogurt Parfait, 257, 15
26, Vegan-friendly dish, Avocado Toast, 480, 17
27, A healthy breakfast option, Avocado Toast, 348, 11
28, Simple and tasty, Sweet Potato Hash, 491, 29
29, Simple and tasty, Zucchini Noodles, 331, 14
30, A healthy breakfast option, Chicken Tacos, 229, 7
31, Vegan-friendly dish, Turkey Wrap, 465, 19
32, Keto-compatible recipe, Vegetable Stir Fry, 291, 11
33, High-protein meal, Vegetable Stir Fry, 439, 27
34, Energy-boosting snack, Sweet Potato Hash, 342, 7
35, High-protein meal, Turkey Wrap, 191, 8
36, Simple and tasty, Egg Muffins, 213, 15
